strain,stress
7.000002701706641017e-02,-6.699777800000000132e-04
7.025001434288388746e-02,-3.122480299999999846e-04
7.050000166870114271e-02,-1.312690300000000085e-04
7.074998899451860612e-02,-5.043849799999999802e-08
7.099997632033608341e-02,2.160162799999999924e-04
7.125004310811325348e-02,3.445196500000000041e-04
7.150003043393073077e-02,-7.964151800000000099e-04
7.175001775974797213e-02,-2.942812699999999750e-04
7.200000508556544943e-02,3.117994199999999760e-04
7.224999241138292672e-02,-9.704243099999999584e-04
7.249997973720018196e-02,-1.153382299999999991e-03
7.275004652497757407e-02,4.118129799999999943e-04
7.300003385079505136e-02,1.064344199999999905e-03
7.325002117661229273e-02,-1.429904999999999978e-03
7.350000850242977002e-02,-8.418776400000000347e-04
7.374999582824724731e-02,6.785447000000000223e-04
7.399998315406448868e-02,2.634923099999999987e-04
7.424997047988196597e-02,-6.046704800000000024e-04
7.450003726765913603e-02,-5.373912499999999957e-04
7.475002459347661332e-02,4.996349799999999812e-04
7.500001191929409061e-02,1.086285800000000041e-04
7.524999924511133198e-02,9.978813100000000582e-05
7.549998657092880927e-02,3.217407000000000144e-04
7.574997389674628656e-02,-7.778158599999999848e-04
7.600004068452345662e-02,-6.960038899999999645e-04
7.625002801034093391e-02,4.026395900000000194e-04
7.650001533615839733e-02,-1.133188899999999907e-03
7.675000266197565257e-02,-3.639718399999999931e-04
7.699998998779312986e-02,5.806322699999999851e-04
7.724997731361037123e-02,1.081740900000000043e-04
7.750004410138776334e-02,-4.773516499999999954e-04
7.775003142720524063e-02,-1.109420899999999941e-03
7.800001875302249588e-02,5.788687799999999882e-04
7.825000607883997317e-02,-1.019774799999999959e-04
7.849999340465745046e-02,-2.703111100000000155e-04
7.874998073047469183e-02,-3.704986499999999666e-05
7.900004751825208393e-02,-2.905206799999999833e-05
7.925003484406933918e-02,-5.763014800000000170e-04
7.950002216988681647e-02,1.142268700000000020e-06
7.975000949570427988e-02,8.258724500000000010e-04
7.999999682152153513e-02,-9.296879799999999919e-04
8.024998414733901242e-02,-5.426840999999999767e-05
8.049997147315648971e-02,1.265764599999999939e-03
8.075003826093364590e-02,-5.144714300000000176e-05
8.100002558675112319e-02,-7.582289099999999470e-04
8.125001291256860048e-02,-1.688657499999999883e-04
8.150000023838585572e-02,9.315656900000000374e-04
8.174998756420333301e-02,-8.674822700000000457e-04
8.199997489002079643e-02,-7.982850500000000489e-04
8.225004167779796649e-02,-4.924862100000000222e-06
8.250002900361544378e-02,1.944905899999999901e-04
8.275001632943269902e-02,-1.374991800000000051e-04
8.300000365525016244e-02,1.913730899999999916e-04
